sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,1584,0.37618293762207033,0.03134857813517253,0.10989583333333335,9333,5,2140
2,1744,0.43746414184570315,0.0364553451538086,0.004427083333333333,10780,5,2406
3,2860,0.5615038871765137,0.04679199059804281,0.0020833333333333333,13932,5,3649
4,161,0.5762513160705567,0.048020943005879724,0.0005208333333333333,14291,5,3486
5,142,0.28799009323120117,0.02399917443593343,0.0,7244,5,1686
6,8769,0.37356276512145997,0.031130230426788332,0.0018229166666666665,9068,5,2041
7,2067,0.41753783226013186,0.03479481935501099,0.0010416666666666667,10451,5,2672
8,7870,0.4080522537231445,0.03400435447692871,0.0018229166666666665,9955,5,2680
9,2668,0.26128106117248534,0.021773421764373777,0.0,6522,5,1495
10,1695,0.3201335906982422,0.026677799224853516,0.0,7428,5,1538
11,1747,0.519925308227539,0.043327109018961585,0.00026041666666666666,12752,5,3143
13,11916,0.3245131015777588,0.027042758464813233,0.0013020833333333333,8461,5,2235
14,1357,0.3587486267089844,0.029895718892415366,0.00026041666666666666,8597,5,1908
15,482,0.45934643745422366,0.03827886978785197,0.0,11581,5,3122
16,166,0.5627887725830079,0.04689906438191732,0.0,13439,5,3529
17,4416,0.40876040458679197,0.03406336704889933,0.0,9963,5,2370
18,11690,0.5109312057495117,0.042577600479125975,0.0,12288,5,3421
19,116,0.16950106620788574,0.014125088850657145,0.0,3764,5,1182
20,19,0.15666427612304687,0.013055356343587239,0.0,3632,5,874
21,6707,0.6952597618103027,0.05793831348419189,0.0,16595,5,4374
22,7249,0.3176210880279541,0.026468424002329505,0.0,7676,5,2320
23,14559,0.6027784824371338,0.050231540203094484,0.0005208333333333333,15579,5,3544
24,577,0.2597370624542236,0.021644755204518636,0.0,6049,5,1187
25,1504,0.25465874671936034,0.021221562226613363,0.0,5952,5,1480
26,9835,0.36098537445068357,0.030082114537556964,0.0,9495,5,2116
27,2546,0.33307666778564454,0.027756388982137045,-0.09791666666666667,6644,5,1585
28,604,0.4024353504180908,0.03353627920150757,-0.009895833333333333,9437,5,2365
30,4242,0.33044066429138186,0.027536722024281823,0.00026041666666666666,8713,5,2257
31,2390,0.3108673572540283,0.02590561310450236,0.0,8071,5,1893
