delta,gamma,total_tp,total_fp,total_fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,total_execution_time,avg_execution_time
2,24,96,354144,4848,0.00027100271002710027,0.019417475728155338,0.0005345449685954831,0.00030836826821749563,0.017041741632300128,0.0006031304172750638,3.55798602104187,0.11118706315755844
4,24,140,502411,4804,0.0002785786915158859,0.02831715210355987,0.0005517295736903812,0.00031450190472350305,0.02417943977955619,0.0006197251511439001,3.6140804290771484,0.11294001340866089
8,24,177,563594,4767,0.000313957262789324,0.035800970873786406,0.0006224558873952682,0.000370385929970789,0.0321522176394801,0.000730960927747295,3.7142221927642822,0.11606944352388382
16,24,182,565691,4762,0.00032162693749304173,0.03681229773462783,0.000637682479673871,0.0003770670095749003,0.03290895267698201,0.0007442107137916902,3.948568105697632,0.123392753303051
