sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",100,0.03419804573059082,1.375
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",16,0.034027099609375,-0.125
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",20,0.03360772132873535,0.390625
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",46,0.03389382362365723,-0.25
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",56,0.034133195877075195,0.25
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",46,0.03366398811340332,0.25
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",1,0.03458523750305176,-0.140625
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",89,0.03376293182373047,0.140625
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",56,0.033969879150390625,0.0
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",19,0.03406834602355957,-0.25
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",20,0.033535003662109375,0.25
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",15,0.03395795822143555,0.109375
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",91,0.038208961486816406,0.28125
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",12,0.03818011283874512,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",30,0.03833603858947754,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",29,0.03867292404174805,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",14,0.03873395919799805,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",43,0.03844118118286133,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",2,0.038549184799194336,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",69,0.03828024864196777,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",9,0.03852200508117676,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",18,0.03843498229980469,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",24,0.0386347770690918,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",4,0.03860592842102051,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",169,0.04901385307312012,0.125
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",26,0.05014681816101074,0.0
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",27,0.04893302917480469,0.0
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",41,0.049449920654296875,0.0
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",19,0.04885292053222656,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",83,0.04901003837585449,0.0
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",8,0.04858231544494629,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",87,0.04968714714050293,0.0
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",46,0.04940223693847656,0.0
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",11,0.047995805740356445,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",7,0.04880976676940918,0.0
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",10,0.04894208908081055,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",17,0.05139899253845215,0.015625
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",0,0.053690195083618164,0.0
4,2,Sonate04_Opus7.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",2,0.04998207092285156,0.0
4,3,Sonate04_Opus7.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",0,0.058995962142944336,0.0
4,4,Sonate04_Opus7.mid,"[7, 6, 9, 7, 6, 9, 7, 6, 9, 7, 6, 4]",0,0.05156874656677246,0.0
4,5,Sonate04_Opus7.mid,"[8, 7, 10, 8, 7, 10, 8, 7, 10, 8, 7, 5]",7,0.04992103576660156,0.0
4,6,Sonate04_Opus7.mid,"[9, 8, 11, 9, 8, 11, 9, 8, 11, 9, 8, 6]",0,0.050122976303100586,0.0
4,7,Sonate04_Opus7.mid,"[10, 9, 0, 10, 9, 0, 10, 9, 0, 10, 9, 7]",3,0.05086708068847656,0.0
4,8,Sonate04_Opus7.mid,"[11, 10, 1, 11, 10, 1, 11, 10, 1, 11, 10, 8]",0,0.05017209053039551,0.0
4,9,Sonate04_Opus7.mid,"[0, 11, 2, 0, 11, 2, 0, 11, 2, 0, 11, 9]",0,0.04989790916442871,0.0
4,10,Sonate04_Opus7.mid,"[1, 0, 3, 1, 0, 3, 1, 0, 3, 1, 0, 10]",0,0.05028891563415527,0.0
4,11,Sonate04_Opus7.mid,"[2, 1, 4, 2, 1, 4, 2, 1, 4, 2, 1, 11]",0,0.05206894874572754,0.0
5,0,Sonate05_Opus10_1.mid,"[0, 7, 3, 0, 7, 3, 0, 7, 7]",12,0.02564382553100586,0.0
5,1,Sonate05_Opus10_1.mid,"[1, 8, 4, 1, 8, 4, 1, 8, 8]",0,0.025521039962768555,0.0
5,2,Sonate05_Opus10_1.mid,"[2, 9, 5, 2, 9, 5, 2, 9, 9]",0,0.0255889892578125,0.0
5,3,Sonate05_Opus10_1.mid,"[3, 10, 6, 3, 10, 6, 3, 10, 10]",0,0.025670289993286133,0.0
5,4,Sonate05_Opus10_1.mid,"[4, 11, 7, 4, 11, 7, 4, 11, 11]",4,0.025896072387695312,0.0
5,5,Sonate05_Opus10_1.mid,"[5, 0, 8, 5, 0, 8, 5, 0, 0]",6,0.02541804313659668,0.0
5,6,Sonate05_Opus10_1.mid,"[6, 1, 9, 6, 1, 9, 6, 1, 1]",0,0.02547907829284668,0.0
5,7,Sonate05_Opus10_1.mid,"[7, 2, 10, 7, 2, 10, 7, 2, 2]",0,0.025540828704833984,0.0
5,8,Sonate05_Opus10_1.mid,"[8, 3, 11, 8, 3, 11, 8, 3, 3]",7,0.025532960891723633,0.0
5,9,Sonate05_Opus10_1.mid,"[9, 4, 0, 9, 4, 0, 9, 4, 4]",0,0.02599191665649414,0.0
5,10,Sonate05_Opus10_1.mid,"[10, 5, 1, 10, 5, 1, 10, 5, 5]",2,0.025511980056762695,0.0
5,11,Sonate05_Opus10_1.mid,"[11, 6, 2, 11, 6, 2, 11, 6, 6]",6,0.025964021682739258,0.0
6,0,Sonate06_Opus10_2.mid,"[0, 11, 2, 0]",651,0.03331279754638672,0.0625
6,1,Sonate06_Opus10_2.mid,"[1, 0, 3, 1]",475,0.03347516059875488,0.015625
6,2,Sonate06_Opus10_2.mid,"[2, 1, 4, 2]",320,0.033210039138793945,0.0
6,3,Sonate06_Opus10_2.mid,"[3, 2, 5, 3]",340,0.033303022384643555,0.0
6,4,Sonate06_Opus10_2.mid,"[4, 3, 6, 4]",387,0.03336811065673828,0.0
6,5,Sonate06_Opus10_2.mid,"[5, 4, 7, 5]",567,0.03325319290161133,0.0
6,6,Sonate06_Opus10_2.mid,"[6, 5, 8, 6]",360,0.03319501876831055,0.0
6,7,Sonate06_Opus10_2.mid,"[7, 6, 9, 7]",453,0.033037662506103516,0.0
6,8,Sonate06_Opus10_2.mid,"[8, 7, 10, 8]",390,0.0333859920501709,0.0
6,9,Sonate06_Opus10_2.mid,"[9, 8, 11, 9]",412,0.03330421447753906,0.0
6,10,Sonate06_Opus10_2.mid,"[10, 9, 0, 10]",459,0.03333592414855957,0.0
6,11,Sonate06_Opus10_2.mid,"[11, 10, 1, 11]",364,0.0336298942565918,0.0
7,0,Sonate07_Opus10_3.mid,"[2, 1, 11, 9, 1, 2]",121,0.03703927993774414,0.078125
7,1,Sonate07_Opus10_3.mid,"[3, 2, 0, 10, 2, 3]",46,0.03720402717590332,0.0
7,2,Sonate07_Opus10_3.mid,"[4, 3, 1, 11, 3, 4]",26,0.03695201873779297,0.0
7,3,Sonate07_Opus10_3.mid,"[5, 4, 2, 0, 4, 5]",45,0.03706097602844238,0.0
7,4,Sonate07_Opus10_3.mid,"[6, 5, 3, 1, 5, 6]",14,0.03693127632141113,0.0
7,5,Sonate07_Opus10_3.mid,"[7, 6, 4, 2, 6, 7]",49,0.03665280342102051,0.0
7,6,Sonate07_Opus10_3.mid,"[8, 7, 5, 3, 7, 8]",15,0.036808013916015625,0.0
7,7,Sonate07_Opus10_3.mid,"[9, 8, 6, 4, 8, 9]",42,0.0370633602142334,0.0
7,8,Sonate07_Opus10_3.mid,"[10, 9, 7, 5, 9, 10]",59,0.0374300479888916,0.0
7,9,Sonate07_Opus10_3.mid,"[11, 10, 8, 6, 10, 11]",29,0.03737807273864746,0.0
7,10,Sonate07_Opus10_3.mid,"[0, 11, 9, 7, 11, 0]",25,0.038172006607055664,0.0
7,11,Sonate07_Opus10_3.mid,"[1, 0, 10, 8, 0, 1]",51,0.03711080551147461,0.0
8,0,Sonate08_Opus13_Pathetique.mid,"[0, 0, 2, 3, 3, 2]",234,0.03390002250671387,0.0
8,1,Sonate08_Opus13_Pathetique.mid,"[1, 1, 3, 4, 4, 3]",87,0.034277915954589844,0.0
8,2,Sonate08_Opus13_Pathetique.mid,"[2, 2, 4, 5, 5, 4]",135,0.03444790840148926,0.0
8,3,Sonate08_Opus13_Pathetique.mid,"[3, 3, 5, 6, 6, 5]",229,0.03460097312927246,0.0
8,4,Sonate08_Opus13_Pathetique.mid,"[4, 4, 6, 7, 7, 6]",174,0.03461813926696777,0.0
8,5,Sonate08_Opus13_Pathetique.mid,"[5, 5, 7, 8, 8, 7]",190,0.03409695625305176,0.0
8,6,Sonate08_Opus13_Pathetique.mid,"[6, 6, 8, 9, 9, 8]",112,0.03420519828796387,0.0
8,7,Sonate08_Opus13_Pathetique.mid,"[7, 7, 9, 10, 10, 9]",104,0.03436279296875,0.0
8,8,Sonate08_Opus13_Pathetique.mid,"[8, 8, 10, 11, 11, 10]",165,0.03413820266723633,0.0
8,9,Sonate08_Opus13_Pathetique.mid,"[9, 9, 11, 0, 0, 11]",113,0.03387331962585449,0.0
8,10,Sonate08_Opus13_Pathetique.mid,"[10, 10, 0, 1, 1, 0]",46,0.03385591506958008,0.0
8,11,Sonate08_Opus13_Pathetique.mid,"[11, 11, 1, 2, 2, 1]",98,0.034095048904418945,0.0
9,0,Sonate09_Opus14_1.mid,"[11, 4, 1, 6]",129,0.02303624153137207,0.0
9,1,Sonate09_Opus14_1.mid,"[0, 5, 2, 7]",66,0.023480892181396484,0.0
9,2,Sonate09_Opus14_1.mid,"[1, 6, 3, 8]",84,0.023375988006591797,0.0
9,3,Sonate09_Opus14_1.mid,"[2, 7, 4, 9]",112,0.023391008377075195,0.0
9,4,Sonate09_Opus14_1.mid,"[3, 8, 5, 10]",118,0.023416996002197266,0.0
9,5,Sonate09_Opus14_1.mid,"[4, 9, 6, 11]",160,0.023036956787109375,0.0
9,6,Sonate09_Opus14_1.mid,"[5, 10, 7, 0]",114,0.023261070251464844,0.0
9,7,Sonate09_Opus14_1.mid,"[6, 11, 8, 1]",134,0.02318882942199707,0.0
9,8,Sonate09_Opus14_1.mid,"[7, 0, 9, 2]",92,0.023638010025024414,0.0
9,9,Sonate09_Opus14_1.mid,"[8, 1, 10, 3]",91,0.023516178131103516,0.0
9,10,Sonate09_Opus14_1.mid,"[9, 2, 11, 4]",166,0.023171663284301758,0.0
9,11,Sonate09_Opus14_1.mid,"[10, 3, 0, 5]",122,0.023324966430664062,0.0
10,0,Sonate10_Opus14_2.mid,"[2, 2, 10, 11, 6, 7]",33,0.02776503562927246,0.0
10,1,Sonate10_Opus14_2.mid,"[3, 3, 11, 0, 7, 8]",25,0.027970075607299805,0.0
10,2,Sonate10_Opus14_2.mid,"[4, 4, 0, 1, 8, 9]",31,0.027946949005126953,0.0
