sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,98516,0.5349266529083252,0.044577221075693764,0.328125,9333,5,2140
2,91887,0.7220118045806885,0.06016765038172404,0.02734375,10780,5,2406
3,107899,0.8685355186462402,0.07237795988718669,0.015625,13932,5,3649
4,21072,1.0046544075012207,0.08372120062510173,0.0013020833333333333,14291,5,3486
5,26834,0.5056254863739014,0.04213545719782511,0.0026041666666666665,7244,5,1686
6,96636,0.48856258392333984,0.04071354866027832,0.00390625,9068,5,2041
7,98009,0.6352059841156006,0.052933832009633384,0.0026041666666666665,10451,5,2672
8,86878,0.5802793502807617,0.04835661252339681,0.0,9955,5,2680
9,69228,0.3548901081085205,0.02957417567571004,0.0,6522,5,1495
10,76808,0.483335018157959,0.04027791817982992,0.0,7428,5,1538
11,125592,0.7834963798522949,0.06529136498769124,0.0,12752,5,3143
13,86388,0.3882601261138916,0.03235501050949097,0.0,8461,5,2235
14,86874,0.5521426200866699,0.046011885007222496,0.0,8597,5,1908
15,70450,0.7778894901275635,0.06482412417729695,0.0,11581,5,3122
16,18664,1.0286133289337158,0.08571777741114299,0.0026041666666666665,13439,5,3529
17,108000,0.5438985824584961,0.04532488187154134,0.0026041666666666665,9963,5,2370
18,135156,0.6176276206970215,0.05146896839141846,0.0,12288,5,3421
19,41823,0.25627660751342773,0.021356383959452312,-0.01953125,3764,5,1182
20,23052,0.26778674125671387,0.022315561771392822,0.0,3632,5,874
21,174080,0.9715263843536377,0.0809605320294698,0.020833333333333332,16595,5,4374
22,83952,0.38878512382507324,0.032398760318756104,0.0,7676,5,2320
23,157872,0.7310402393341064,0.06092001994450887,0.00390625,15579,5,3544
24,52450,0.41626453399658203,0.034688711166381836,0.0,6049,5,1187
25,66059,0.3565652370452881,0.029713769753774006,0.0,5952,5,1480
26,96828,0.44031357765197754,0.036692798137664795,0.0,9495,5,2116
27,69530,0.3814566135406494,0.03178805112838745,0.0,6644,5,1585
28,60668,0.6745195388793945,0.056209961573282875,0.0,9437,5,2365
30,88332,0.4298207759857178,0.035818397998809814,0.0,8713,5,2257
31,74284,0.4736897945404053,0.039474149545033775,0.0,8071,5,1893
