sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",29,0.031044197082519532,0.19375
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",40,0.03159904479980469,0.1
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",1,0.03087167739868164,-0.125
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",14,0.031034040451049804,-0.6875
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",40,0.031577444076538085,0.075
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",9,0.03143343925476074,-0.1
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",20,0.03155736923217774,0.06875
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",20,0.030951309204101562,0.0
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",58,0.031248807907104492,0.121875
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",8,0.030916690826416016,0.078125
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",1,0.030543756484985352,0.0
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",39,0.032017993927001956,0.1
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",20,0.0346318244934082,0.05
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",48,0.035232162475585936,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",22,0.03418478965759277,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",17,0.03570108413696289,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",36,0.03486843109130859,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",5,0.03443832397460937,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",37,0.03558859825134277,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",8,0.034608650207519534,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",7,0.03525443077087402,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",15,0.034430742263793945,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",2,0.034157180786132814,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",45,0.03538570404052734,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",131,0.044631576538085936,0.025
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",131,0.04515295028686524,0.0
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",38,0.0432133674621582,0.0
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",19,0.044257402420043945,0.0
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",39,0.0482668399810791,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",58,0.04450335502624512,0.0
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",68,0.044141387939453124,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",74,0.04441113471984863,0.0
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",37,0.04443469047546387,0.0
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",8,0.04230198860168457,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",6,0.043299198150634766,0.0
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",55,0.04418435096740723,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",22,0.04591660499572754,0.003125
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",1,0.04619522094726562,0.0
4,2,Sonate04_Opus7.mid,"[5, 4, 7, 5, 4, 7, 5, 4, 7, 5, 4, 2]",0,0.04453983306884766,0.0
4,3,Sonate04_Opus7.mid,"[6, 5, 8, 6, 5, 8, 6, 5, 8, 6, 5, 3]",2,0.04542241096496582,0.0
