sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,4941,0.4361461639404297,0.036345513661702473,0.17057291666666666,9333,5,2140
2,2584,0.5127830505371094,0.042731920878092446,0.004166666666666667,10780,5,2406
3,5564,0.6463666439056397,0.05386388699213664,0.0020833333333333333,13932,5,3649
4,183,0.6669999122619629,0.05558332602183024,0.00026041666666666666,14291,5,3486
5,262,0.3324784278869629,0.02770653565724691,0.0,7244,5,1686
6,23650,0.42723631858825684,0.0356030265490214,0.0013020833333333333,9068,5,2041
7,4713,0.48061590194702153,0.040051325162251794,0.0,10451,5,2672
8,11520,0.47139549255371094,0.03928295771280924,0.0015624999999999999,9955,5,2680
9,10784,0.3026881217956543,0.02522401014963786,0.00026041666666666666,6522,5,1495
10,3152,0.3704990386962891,0.030874919891357423,0.0,7428,5,1538
11,4537,0.6020086288452149,0.05016738573710124,0.0,12752,5,3143
13,35547,0.35767426490783694,0.029806188742319745,0.0,8461,5,2235
14,2815,0.41360654830932614,0.03446721235911051,0.0,8597,5,1908
15,768,0.5367086887359619,0.04472572406133016,0.0,11581,5,3122
16,167,0.6614477157592773,0.05512064297993977,0.0005208333333333333,13439,5,3529
17,14289,0.46642131805419923,0.03886844317118327,0.00026041666666666666,9963,5,2370
18,49802,0.5647273063659668,0.047060608863830566,0.0,12288,5,3421
19,448,0.19999732971191406,0.016666444142659505,0.00026041666666666666,3764,5,1182
20,25,0.17844676971435547,0.014870564142862955,0.0,3632,5,874
21,15083,0.808189868927002,0.06734915574391682,0.0,16595,5,4374
22,29915,0.3541436672210693,0.029511972268422445,0.0,7676,5,2320
23,56236,0.6765326023101806,0.05637771685918172,0.0010416666666666667,15579,5,3544
24,1028,0.2999854564666748,0.024998788038889566,0.0,6049,5,1187
25,3756,0.28778257369995114,0.023981881141662595,0.0,5952,5,1480
26,37004,0.40500836372375487,0.03375069697697957,-0.002864583333333333,9495,5,2116
27,7965,0.3124018669128418,0.02603348890940348,0.0,6644,5,1585
28,669,0.46657118797302244,0.0388809323310852,0.0,9437,5,2365
30,17007,0.3748936176300049,0.031241134802500407,0.00026041666666666666,8713,5,2257
31,4024,0.37653541564941406,0.031377951304117836,0.0007812499999999999,8071,5,1893
