sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",1552,0.036676979064941405,0.3875
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",2006,0.03745532035827637,0.203125
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",1582,0.03660492897033692,0.184375
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",2586,0.03803496360778809,0.178125
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",2733,0.038874578475952146,0.128125
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",1523,0.03630399703979492,0.284375
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",2000,0.03756141662597656,0.15
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",1679,0.03651728630065918,0.0875
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",2627,0.03829059600830078,0.071875
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",2032,0.03765602111816406,0.15625
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",1927,0.03749737739562988,0.096875
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",2645,0.038573837280273436,0.0
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",1203,0.043959522247314455,0.05
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",1367,0.04606437683105469,0.003125
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",1347,0.04508066177368164,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",1431,0.047128915786743164,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",1293,0.04640364646911621,0.0
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",1061,0.04373908042907715,0.0
2,6,Sonate02_Opus2_2.mid,"[3, 10, 10, 8, 7, 5, 3]",1240,0.04546036720275879,0.0
2,7,Sonate02_Opus2_2.mid,"[4, 11, 11, 9, 8, 6, 4]",1190,0.04432930946350098,0.0
2,8,Sonate02_Opus2_2.mid,"[5, 0, 0, 10, 9, 7, 5]",1384,0.04757847785949707,0.0
2,9,Sonate02_Opus2_2.mid,"[6, 1, 1, 11, 10, 8, 6]",1437,0.04638018608093262,0.0
2,10,Sonate02_Opus2_2.mid,"[7, 2, 2, 0, 11, 9, 7]",1335,0.04550981521606445,0.0
2,11,Sonate02_Opus2_2.mid,"[8, 3, 3, 1, 0, 10, 8]",1417,0.04614777565002441,0.0
3,0,Sonate03_Opus2_3.mid,"[0, 11, 0, 11, 0, 2, 11]",2355,0.057204914093017575,0.059375
3,1,Sonate03_Opus2_3.mid,"[1, 0, 1, 0, 1, 3, 0]",2657,0.05803656578063965,0.0
3,2,Sonate03_Opus2_3.mid,"[2, 1, 2, 1, 2, 4, 1]",2672,0.0572239875793457,0.0
3,3,Sonate03_Opus2_3.mid,"[3, 2, 3, 2, 3, 5, 2]",2569,0.059499263763427734,0.0
3,4,Sonate03_Opus2_3.mid,"[4, 3, 4, 3, 4, 6, 3]",2688,0.059783411026000974,0.0
3,5,Sonate03_Opus2_3.mid,"[5, 4, 5, 4, 5, 7, 4]",2427,0.05799498558044434,0.003125
3,6,Sonate03_Opus2_3.mid,"[6, 5, 6, 5, 6, 8, 5]",2316,0.05896940231323242,0.0
3,7,Sonate03_Opus2_3.mid,"[7, 6, 7, 6, 7, 9, 6]",2029,0.05586576461791992,0.0
3,8,Sonate03_Opus2_3.mid,"[8, 7, 8, 7, 8, 10, 7]",2064,0.05743861198425293,0.0
3,9,Sonate03_Opus2_3.mid,"[9, 8, 9, 8, 9, 11, 8]",2126,0.05783491134643555,0.0
3,10,Sonate03_Opus2_3.mid,"[10, 9, 10, 9, 10, 0, 9]",2026,0.057712364196777347,0.0
3,11,Sonate03_Opus2_3.mid,"[11, 10, 11, 10, 11, 1, 10]",2363,0.05842843055725098,0.0
4,0,Sonate04_Opus7.mid,"[3, 2, 5, 3, 2, 5, 3, 2, 5, 3, 2, 0]",540,0.061159944534301756,0.003125
4,1,Sonate04_Opus7.mid,"[4, 3, 6, 4, 3, 6, 4, 3, 6, 4, 3, 1]",423,0.06273393630981446,0.0
