sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,23,0.3521139621734619,0.029342830181121826,0.08072916666666667,9333,5,2140
2,15,0.39911794662475586,0.033259828885396324,0.0234375,10780,5,2406
3,18,0.49480104446411133,0.04123342037200928,0.0078125,13932,5,3649
4,9,0.515143871307373,0.04292865594228109,0.0,14291,5,3486
5,2,0.26685070991516113,0.02223755915959676,0.0,7244,5,1686
6,55,0.3421194553375244,0.02850995461146037,0.0026041666666666665,9068,5,2041
7,19,0.37636685371398926,0.03136390447616577,0.0026041666666666665,10451,5,2672
8,13,0.33980703353881836,0.02831725279490153,0.0,9955,5,2680
9,35,0.2411036491394043,0.020091970761617024,0.0,6522,5,1495
10,8,0.28902769088745117,0.024085640907287598,0.0,7428,5,1538
11,9,0.46293020248413086,0.038577516873677574,0.0,12752,5,3143
13,234,0.29944348335266113,0.02495362361272176,0.0,8461,5,2235
14,1,0.328113317489624,0.02734277645746867,0.0,8597,5,1908
15,9,0.4105370044708252,0.034211417039235435,0.0,11581,5,3122
16,28,0.4679300785064697,0.038994173208872475,0.0026041666666666665,13439,5,3529
17,76,0.3814682960510254,0.031789024670918785,0.0013020833333333333,9963,5,2370
18,446,0.4810371398925781,0.04008642832438151,0.0,12288,5,3421
19,5,0.1645646095275879,0.013713717460632324,0.0,3764,5,1182
20,6,0.14905142784118652,0.012420952320098877,0.0,3632,5,874
21,133,0.6166696548461914,0.05138913790384928,0.0,16595,5,4374
22,46,0.300905704498291,0.025075475374857586,0.0,7676,5,2320
23,164,0.5478932857513428,0.0456577738126119,0.006510416666666667,15579,5,3544
24,4,0.2303481101989746,0.01919567584991455,0.0,6049,5,1187
25,13,0.23613834381103516,0.019678195317586262,0.0013020833333333333,5952,5,1480
26,550,0.3327651023864746,0.027730425198872883,0.0,9495,5,2116
27,4,0.23819732666015625,0.019849777221679688,0.0,6644,5,1585
28,2,0.36154675483703613,0.030128896236419678,0.0,9437,5,2365
30,37,0.2991354465484619,0.024927953879038494,0.0013020833333333333,8713,5,2257
31,6,0.27303409576416016,0.022752841313680012,0.0,8071,5,1893
