sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,7087,0.41172003746032715,0.03431000312169393,0.15234375,9333,5,2140
2,7048,0.48891444206237794,0.04074287017186483,0.004166666666666667,10780,5,2406
3,14616,0.6302060604095459,0.052517171700795486,0.0020833333333333333,13932,5,3649
4,3914,0.6653421878814697,0.055445182323455806,0.00026041666666666666,14291,5,3486
5,1634,0.3163510799407959,0.026362589995066327,0.0,7244,5,1686
6,21609,0.41538386344909667,0.03461532195409139,0.0007812500000000002,9068,5,2041
7,9637,0.45985140800476076,0.0383209506670634,0.0007812500000000002,10451,5,2672
8,19232,0.44101614952087403,0.03675134579340617,0.00026041666666666666,9955,5,2680
9,8842,0.28368268013000486,0.02364022334416707,0.00026041666666666666,6522,5,1495
10,6725,0.352830171585083,0.029402514298756916,0.0,7428,5,1538
11,8567,0.5734505653381348,0.04778754711151123,0.00026041666666666666,12752,5,3143
13,24927,0.3428674221038818,0.028572285175323484,0.0,8461,5,2235
14,6304,0.3923323631286621,0.03269436359405518,0.0005208333333333333,8597,5,1908
15,4271,0.5117644309997559,0.04264703591664632,0.0,11581,5,3122
16,4272,0.6690680980682373,0.055755674839019775,0.0,13439,5,3529
17,12993,0.4440357208251953,0.037002976735432944,0.0,9963,5,2370
18,31614,0.5384422779083252,0.04487018982569377,0.0,12288,5,3421
19,1339,0.18364076614379882,0.015303397178649902,0.0,3764,5,1182
20,337,0.1704493999481201,0.014204116662343343,0.0,3632,5,874
21,19993,0.7623104095458985,0.0635258674621582,0.0,16595,5,4374
22,18785,0.3371605396270752,0.0280967116355896,0.00026041666666666666,7676,5,2320
23,32716,0.6460847854614258,0.05384039878845215,0.0005208333333333333,15579,5,3544
24,3406,0.2882053375244141,0.02401711146036784,0.0,6049,5,1187
25,5893,0.2737086772918701,0.022809056440989173,0.0,5952,5,1480
26,24122,0.3825212478637695,0.03187677065531413,0.0,9495,5,2116
27,9583,0.2973007678985596,0.024775063991546633,0.0,6644,5,1585
28,2840,0.4461164951324463,0.03717637459437052,0.0,9437,5,2365
30,13449,0.3552883148193359,0.029607359568277994,0.0013020833333333333,8713,5,2257
31,9686,0.350179386138916,0.029181615511576334,0.0,8071,5,1893
