sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",100,0.033660888671875,1.328125
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",16,0.033740997314453125,-0.125
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",20,0.0336298942565918,0.390625
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",46,0.03501701354980469,-0.25
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",56,0.03398299217224121,0.25
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",46,0.0334477424621582,0.0
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",1,0.03329181671142578,0.109375
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",89,0.03362298011779785,0.140625
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",56,0.033788204193115234,0.0
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",19,0.03377509117126465,-0.25
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",20,0.033434152603149414,0.25
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",15,0.03379178047180176,-0.140625
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",91,0.03814196586608887,0.234375
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",12,0.03830385208129883,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",30,0.0381472110748291,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",29,0.03826093673706055,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",14,0.038481950759887695,0.015625
2,5,Sonate02_Opus2_2.mid,"[2, 9, 9, 7, 6, 4, 2]",43,0.03821110725402832,0.0
