sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,75,0.3690955638885498,0.03075796365737915,0.08984375,9333,5,2140
2,41,0.41725850105285645,0.0347715417544047,0.03515625,10780,5,2406
3,87,0.5227437019348145,0.043561975161234535,0.01171875,13932,5,3649
4,13,0.545698881149292,0.045474906762441,0.00390625,14291,5,3486
5,8,0.2808253765106201,0.023402114709218342,0.0,7244,5,1686
6,576,0.36405467987060547,0.03033788998921712,0.0,9068,5,2041
7,66,0.4114110469818115,0.03428425391515096,0.0026041666666666665,10451,5,2672
8,491,0.37871861457824707,0.031559884548187256,0.0,9955,5,2680
9,158,0.25746965408325195,0.021455804506937664,0.0,6522,5,1495
10,81,0.303577184677124,0.02529809872309367,0.0,7428,5,1538
11,70,0.4927959442138672,0.04106632868448893,0.0,12752,5,3143
13,2324,0.31340694427490234,0.026117245356241863,0.0,8461,5,2235
14,12,0.34436631202697754,0.028697192668914795,0.0013020833333333333,8597,5,1908
15,15,0.4385499954223633,0.03654583295186361,0.0,11581,5,3122
16,28,0.5199861526489258,0.043332179387410484,0.0,13439,5,3529
17,620,0.3995821475982666,0.03329851229985555,0.0013020833333333333,9963,5,2370
18,2108,0.5079166889190674,0.042326390743255615,0.014322916666666666,12288,5,3421
19,6,0.16532206535339355,0.013776838779449463,0.0,3764,5,1182
20,6,0.1548328399658203,0.01290273666381836,0.0,3632,5,874
21,696,0.6533081531524658,0.05444234609603882,0.006510416666666667,16595,5,4374
22,1981,0.30841684341430664,0.025701403617858887,0.0,7676,5,2320
23,3722,0.5804963111877441,0.048374692598978676,0.0,15579,5,3544
24,6,0.24261212348937988,0.020217676957448322,0.0,6049,5,1187
25,118,0.2440321445465088,0.0203360120455424,0.0,5952,5,1480
26,2135,0.3501012325286865,0.029175102710723877,0.0,9495,5,2116
27,120,0.2555570602416992,0.02129642168680827,0.0,6644,5,1585
28,9,0.3748185634613037,0.031234880288441975,0.0,9437,5,2365
30,511,0.31381869316101074,0.02615155776341756,0.0013020833333333333,8713,5,2257
31,109,0.28856682777404785,0.024047235647837322,0.0013020833333333333,8071,5,1893
