sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,35476,0.5171875953674316,0.0430989662806193,0.24088541666666666,9333,5,2140
2,4114,0.6212069988250732,0.05176724990208944,0.02734375,10780,5,2406
3,6189,0.7474842071533203,0.062290350596110024,-0.17708333333333334,13932,5,3649
4,95,0.7950625419616699,0.06625521183013916,0.0013020833333333333,14291,5,3486
5,294,0.40686631202697754,0.03390552600224813,0.0,7244,5,1686
6,96636,0.5271124839782715,0.04392604033152262,0.0026041666666666665,9068,5,2041
7,11686,0.613041877746582,0.0510868231455485,0.00390625,10451,5,2672
8,14623,0.5320267677307129,0.04433556397755941,0.0026041666666666665,9955,5,2680
9,69228,0.34584546089172363,0.028820455074310303,0.0,6522,5,1495
10,8388,0.5317018032073975,0.044308483600616455,0.0013020833333333333,7428,5,1538
11,14253,0.8023519515991211,0.06686266263326009,0.0026041666666666665,12752,5,3143
13,86388,0.3832721710205078,0.03193934758504232,0.0,8461,5,2235
14,8924,0.5075290203094482,0.042294085025787354,0.0013020833333333333,8597,5,1908
15,1383,0.6530117988586426,0.05441764990488688,0.005208333333333333,11581,5,3122
16,60,0.7676563262939453,0.06397136052449544,0.0013020833333333333,13439,5,3529
17,108000,0.545198917388916,0.045433243115743004,-0.01953125,9963,5,2370
18,135156,0.6160242557525635,0.05133535464604696,0.0013020833333333333,12288,5,3421
19,3775,0.2473921775817871,0.020616014798482258,0.0026041666666666665,3764,5,1182
20,181,0.22583723068237305,0.018819769223531086,0.0,3632,5,874
21,65225,0.9476161003112793,0.07896800835927327,0.0026041666666666665,16595,5,4374
22,83952,0.3834571838378906,0.03195476531982422,0.0,7676,5,2320
23,157872,0.7248132228851318,0.06040110190709432,0.0026041666666666665,15579,5,3544
24,1729,0.3624272346496582,0.030202269554138184,-0.020833333333333332,6049,5,1187
25,22872,0.3430650234222412,0.028588751951853435,0.0,5952,5,1480
26,96828,0.4306645393371582,0.03588871161142985,0.0,9495,5,2116
27,25528,0.3663191795349121,0.030526598294576008,0.0013020833333333333,6644,5,1585
28,721,0.5623438358306885,0.04686198631922404,0.0,9437,5,2365
30,88332,0.4239838123321533,0.03533198436101278,0.0013020833333333333,8713,5,2257
31,8999,0.43237876892089844,0.03603156407674154,0.0013020833333333333,8071,5,1893
