sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,182,0.38900327682495117,0.0324169397354126,0.14453125,9333,5,2140
2,139,0.44695091247558594,0.03724590937296549,0.01953125,10780,5,2406
3,217,0.5666766166687012,0.04722305138905843,0.01171875,13932,5,3649
4,21,0.5860469341278076,0.048837244510650635,0.0,14291,5,3486
5,13,0.2988295555114746,0.02490246295928955,0.0,7244,5,1686
6,2774,0.39077115058898926,0.032564262549082436,0.0026041666666666665,9068,5,2041
7,154,0.4299614429473877,0.03583012024561564,0.0026041666666666665,10451,5,2672
8,672,0.3953437805175781,0.03294531504313151,0.0,9955,5,2680
9,535,0.2735280990600586,0.022794008255004883,0.0,6522,5,1495
10,152,0.3285188674926758,0.027376572291056316,0.0,7428,5,1538
11,194,0.5322659015655518,0.04435549179712931,0.0,12752,5,3143
13,6668,0.3443160057067871,0.028693000475565594,0.0,8461,5,2235
14,64,0.3716390132904053,0.03096991777420044,0.0,8597,5,1908
15,18,0.47246336936950684,0.0393719474474589,0.0,11581,5,3122
16,28,0.5570731163024902,0.046422759691874184,0.0026041666666666665,13439,5,3529
17,1405,0.4259307384490967,0.03549422820409139,0.0026041666666666665,9963,5,2370
18,5749,0.5274360179901123,0.043953001499176025,0.0,12288,5,3421
19,12,0.17534208297729492,0.01461184024810791,0.0013020833333333333,3764,5,1182
20,6,0.16306734085083008,0.013588945070902506,0.0,3632,5,874
21,1364,0.7060577869415283,0.05883814891179403,0.0,16595,5,4374
22,4643,0.3318901062011719,0.027657508850097656,0.0,7676,5,2320
23,7951,0.624779462814331,0.05206495523452759,0.00390625,15579,5,3544
24,18,0.26564860343933105,0.022137383619944256,0.0,6049,5,1187
25,270,0.2619962692260742,0.021833022435506184,0.0,5952,5,1480
26,5410,0.3757147789001465,0.03130956490834554,0.0,9495,5,2116
27,346,0.2751452922821045,0.02292877435684204,0.0,6644,5,1585
28,24,0.40351223945617676,0.033626019954681396,0.0,9437,5,2365
30,1138,0.3398280143737793,0.02831900119781494,0.0,8713,5,2257
31,374,0.31371307373046875,0.02614275614420573,0.0,8071,5,1893
