sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,23,0.35889873504638675,0.02990822792053223,0.020572916666666666,9333,5,2140
2,15,0.3962554931640625,0.03302129109700521,0.005208333333333333,10780,5,2406
3,18,0.4952662467956543,0.04127218723297119,0.0020833333333333333,13932,5,3649
4,9,0.5097108840942383,0.04247590700785319,0.0007812499999999999,14291,5,3486
5,2,0.26244559288024905,0.02187046607335409,0.0,7244,5,1686
6,55,0.33801994323730467,0.028168328603108722,0.00026041666666666666,9068,5,2041
7,19,0.3701483249664307,0.030845693747202557,0.0010416666666666667,10451,5,2672
8,13,0.3364993095397949,0.02804160912831624,0.0,9955,5,2680
9,35,0.2383401870727539,0.019861682256062826,0.0,6522,5,1495
10,8,0.2844827175140381,0.02370689312616984,0.0,7428,5,1538
11,9,0.45656275749206543,0.03804689645767212,-0.0002604166666666666,12752,5,3143
13,234,0.2956422805786133,0.024636856714884442,0.0,8461,5,2235
14,1,0.32268810272216797,0.026890675226847332,0.00026041666666666666,8597,5,1908
15,9,0.40517573356628417,0.03376464446385701,0.0,11581,5,3122
16,28,0.4599276542663574,0.03832730452219645,0.0,13439,5,3529
17,76,0.3758809566497803,0.031323413054148354,0.0,9963,5,2370
18,446,0.4694258689880371,0.03911882241566976,0.0,12288,5,3421
19,5,0.15932087898254393,0.013276739915211994,0.0,3764,5,1182
20,6,0.14808874130249022,0.012340728441874185,0.0,3632,5,874
21,133,0.6146553516387939,0.05122127930323283,0.0,16595,5,4374
22,46,0.2996891975402832,0.024974099795023602,0.00026041666666666666,7676,5,2320
23,164,0.5618351459503174,0.04681959549585978,-0.09999999999999999,15579,5,3544
24,4,0.2361112117767334,0.01967593431472778,0.0,6049,5,1187
25,13,0.2363290309906006,0.019694085915883383,0.0,5952,5,1480
26,550,0.33216133117675783,0.027680110931396485,0.0,9495,5,2116
27,4,0.23768262863159179,0.019806885719299314,0.00026041666666666666,6644,5,1585
28,2,0.3597575664520264,0.029979797204335534,0.00026041666666666666,9437,5,2365
30,37,0.29828605651855467,0.024857171376546222,0.00026041666666666666,8713,5,2257
31,6,0.2747483730316162,0.022895697752634683,0.0,8071,5,1893
