sonata,rotation,midi_file,motif,occurrences,time_s,memory_mb
1,0,Sonate01_Opus2_1.mid,"[0, 5, 8, 0, 5]",8238,0.04489026069641113,0.465625
1,1,Sonate01_Opus2_1.mid,"[1, 6, 9, 1, 6]",8173,0.045002412796020505,0.31875
1,2,Sonate01_Opus2_1.mid,"[2, 7, 10, 2, 7]",8196,0.04540576934814453,0.203125
1,3,Sonate01_Opus2_1.mid,"[3, 8, 11, 3, 8]",8240,0.045586156845092776,0.321875
1,4,Sonate01_Opus2_1.mid,"[4, 9, 0, 4, 9]",8234,0.044756412506103516,0.25
1,5,Sonate01_Opus2_1.mid,"[5, 10, 1, 5, 10]",8226,0.04495358467102051,0.271875
1,6,Sonate01_Opus2_1.mid,"[6, 11, 2, 6, 11]",8159,0.0445551872253418,0.171875
1,7,Sonate01_Opus2_1.mid,"[7, 0, 3, 7, 0]",8232,0.04458718299865723,0.15
1,8,Sonate01_Opus2_1.mid,"[8, 1, 4, 8, 1]",8226,0.044631242752075195,0.171875
1,9,Sonate01_Opus2_1.mid,"[9, 2, 5, 9, 2]",8201,0.04439806938171387,0.1
1,10,Sonate01_Opus2_1.mid,"[10, 3, 6, 10, 3]",8194,0.04426279067993164,0.146875
1,11,Sonate01_Opus2_1.mid,"[11, 4, 7, 11, 4]",8197,0.04485335350036621,0.053125
2,0,Sonate02_Opus2_2.mid,"[9, 4, 4, 2, 1, 11, 9]",7823,0.060272836685180665,0.05625
2,1,Sonate02_Opus2_2.mid,"[10, 5, 5, 3, 2, 0, 10]",7502,0.060014963150024414,0.0
2,2,Sonate02_Opus2_2.mid,"[11, 6, 6, 4, 3, 1, 11]",7741,0.06029877662658691,0.0
2,3,Sonate02_Opus2_2.mid,"[0, 7, 7, 5, 4, 2, 0]",7755,0.05976543426513672,0.0
2,4,Sonate02_Opus2_2.mid,"[1, 8, 8, 6, 5, 3, 1]",7649,0.060088157653808594,0.0
