sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,463,0.39553189277648926,0.032960991064707436,0.1140625,9333,5,2140
2,343,0.46687164306640627,0.038905970255533856,0.004427083333333333,10780,5,2406
3,529,0.5740728855133057,0.04783940712610881,0.0026041666666666665,13932,5,3649
4,29,0.5910714626312256,0.049255955219268795,0.00026041666666666666,14291,5,3486
5,34,0.2986250877380371,0.024885423978169757,0.0,7244,5,1686
6,5155,0.388640022277832,0.03238666852315267,0.0005208333333333333,9068,5,2041
7,518,0.43114380836486815,0.035928650697072344,0.0005208333333333333,10451,5,2672
8,1686,0.3997035503387451,0.033308629194895426,0.0,9955,5,2680
9,1357,0.27405538558959963,0.0228379487991333,0.0,6522,5,1495
10,321,0.3275113105773926,0.027292609214782715,0.0,7428,5,1538
11,510,0.5346230030059814,0.04455191691716512,-0.007552083333333333,12752,5,3143
13,11708,0.3400120258331299,0.028334335486094157,0.0,8461,5,2235
14,237,0.3712836742401123,0.030940306186676026,0.0,8597,5,1908
15,22,0.4748955249786377,0.03957462708155314,-0.09270833333333334,11581,5,3122
16,28,0.5655535221099853,0.04712946017583211,0.0007812499999999999,13439,5,3529
17,2425,0.42611145973205566,0.03550928831100464,0.00026041666666666666,9963,5,2370
18,10810,0.5283697605133056,0.044030813376108806,0.0,12288,5,3421
19,16,0.17654070854187012,0.01471172571182251,0.00026041666666666666,3764,5,1182
20,6,0.16253910064697266,0.013544925053914388,0.0,3632,5,874
21,2618,0.7214460849761963,0.060120507081349694,0.0,16595,5,4374
22,7330,0.33171796798706055,0.02764316399892171,0.0,7676,5,2320
23,14576,0.6389163970947266,0.053243033091227215,0.0020833333333333333,15579,5,3544
24,51,0.26806817054748533,0.022339014212290443,0.0,6049,5,1187
25,538,0.2628167629241943,0.021901396910349525,0.0,5952,5,1480
26,9079,0.3747598648071289,0.03122998873392741,0.0,9495,5,2116
27,866,0.28035593032836914,0.02336299419403076,0.0,6644,5,1585
28,42,0.406553840637207,0.03387948671976725,0.0,9437,5,2365
30,2509,0.34156103134155275,0.02846341927846273,0.0,8713,5,2257
31,656,0.31800379753112795,0.02650031646092733,0.0,8071,5,1893
