sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,50,0.36887264251708984,0.030739386876424152,0.07161458333333333,9333,5,2140
2,26,0.434643030166626,0.0362202525138855,0.033854166666666664,10780,5,2406
3,65,0.524256706237793,0.043688058853149414,0.014322916666666666,13932,5,3649
4,13,0.5608866214752197,0.046740551789601646,0.009114583333333334,14291,5,3486
5,2,0.2789442539215088,0.023245354493459065,0.0,7244,5,1686
6,238,0.3600318431854248,0.0300026535987854,0.0013020833333333333,9068,5,2041
7,32,0.3949146270751953,0.032909552256266274,0.0013020833333333333,10451,5,2672
8,45,0.35844922065734863,0.029870768388112385,0.0,9955,5,2680
9,131,0.26112794876098633,0.02176066239674886,0.0,6522,5,1495
10,20,0.3268468379974365,0.027237236499786377,0.0,7428,5,1538
11,42,0.5011467933654785,0.04176223278045654,0.0,12752,5,3143
13,1362,0.31920719146728516,0.02660059928894043,0.0,8461,5,2235
14,8,0.3515431880950928,0.029295265674591064,0.0,8597,5,1908
15,9,0.4350419044494629,0.03625349203745524,0.01171875,11581,5,3122
16,28,0.5237324237823486,0.04364436864852905,-0.01171875,13439,5,3529
17,279,0.397463321685791,0.03312194347381592,0.0,9963,5,2370
18,1616,0.4964015483856201,0.041366795698801674,0.006510416666666667,12288,5,3421
19,6,0.16452240943908691,0.013710200786590576,0.0,3764,5,1182
20,6,0.1530313491821289,0.012752612431844076,0.0,3632,5,874
21,429,0.6504175662994385,0.05420146385828654,0.0,16595,5,4374
22,724,0.31216979026794434,0.02601414918899536,0.0,7676,5,2320
23,1970,0.5812168121337891,0.04843473434448242,0.0026041666666666665,15579,5,3544
24,4,0.2436683177947998,0.02030569314956665,0.0,6049,5,1187
25,59,0.2437899112701416,0.020315825939178467,0.0,5952,5,1480
26,1660,0.3497312068939209,0.029144267241160076,0.0,9495,5,2116
27,45,0.24984049797058105,0.02082004149754842,0.0,6644,5,1585
28,3,0.3772761821746826,0.03143968184789022,0.0,9437,5,2365
30,339,0.31728172302246094,0.026440143585205078,0.0,8713,5,2257
31,63,0.29114389419555664,0.024261991182963055,0.0,8071,5,1893
