sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,98516,0.5223374366760254,0.043528119723002114,0.3294270833333333,9333,5,2140
2,91887,0.7018630504608154,0.058488587538401283,0.02734375,10780,5,2406
3,107899,0.8475370407104492,0.07062808672587077,0.01953125,13932,5,3649
4,21072,0.977423906326294,0.08145199219385783,0.0013020833333333333,14291,5,3486
5,26834,0.493088960647583,0.04109074672063192,0.0026041666666666665,7244,5,1686
6,96636,0.47589564323425293,0.03965797026952108,0.00390625,9068,5,2041
7,98009,0.6133501529693604,0.051112512747446694,0.0026041666666666665,10451,5,2672
8,86878,0.5687060356140137,0.04739216963450114,0.0,9955,5,2680
9,69228,0.34581804275512695,0.028818170229593914,0.0,6522,5,1495
10,76808,0.4729270935058594,0.03941059112548828,0.0,7428,5,1538
11,125592,0.7629051208496094,0.06357542673746745,0.0,12752,5,3143
13,86388,0.38101983070373535,0.031751652558644615,0.0,8461,5,2235
14,86874,0.5387637615203857,0.044896980126698814,-0.020833333333333332,8597,5,1908
15,70450,0.758556604385376,0.063213050365448,-0.020833333333333332,11581,5,3122
16,18664,0.9987058639526367,0.08322548866271973,0.0026041666666666665,13439,5,3529
17,108000,0.531977653503418,0.04433147112528483,0.0026041666666666665,9963,5,2370
18,135156,0.6041457653045654,0.05034548044204712,0.0,12288,5,3421
19,41823,0.24857234954833984,0.020714362462361652,0.0013020833333333333,3764,5,1182
20,23052,0.2607097625732422,0.021725813547770183,-0.020833333333333332,3632,5,874
21,174080,0.9497215747833252,0.0791434645652771,0.08333333333333333,16595,5,4374
22,83952,0.3799014091491699,0.031658450762430825,0.0,7676,5,2320
23,157872,0.7167003154754639,0.05972502628962199,-0.016927083333333332,15579,5,3544
24,52450,0.40312886238098145,0.03359407186508179,0.0,6049,5,1187
25,66059,0.35088396072387695,0.02924033006032308,0.0,5952,5,1480
26,96828,0.44565367698669434,0.03713780641555786,0.0,9495,5,2116
27,69530,0.37219810485839844,0.03101650873819987,0.0,6644,5,1585
28,60668,0.6829123497009277,0.05690936247507731,0.0,9437,5,2365
30,88332,0.45664405822753906,0.038053671518961586,0.0,8713,5,2257
31,74284,0.4602670669555664,0.03835558891296387,0.0,8071,5,1893
