sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,142,0.390470027923584,0.032539168993631996,0.125,9333,5,2140
2,128,0.43506646156311035,0.03625553846359253,0.022135416666666668,10780,5,2406
3,105,0.624558687210083,0.05204655726750692,0.020833333333333332,13932,5,3649
4,14,0.6107475757598877,0.050895631313323975,0.0078125,14291,5,3486
5,8,0.29218363761901855,0.024348636468251545,0.0,7244,5,1686
6,2076,0.41758060455322266,0.034798383712768555,0.016927083333333332,9068,5,2041
7,103,0.42015719413757324,0.03501309951146444,0.005208333333333333,10451,5,2672
8,555,0.38271403312683105,0.03189283609390259,0.0078125,9955,5,2680
9,380,0.26717376708984375,0.022264480590820312,0.0,6522,5,1495
10,106,0.32243871688842773,0.026869893074035645,0.0,7428,5,1538
11,117,0.5197572708129883,0.04331310590108236,0.0,12752,5,3143
13,5557,0.33205509185791016,0.027671257654825848,0.0,8461,5,2235
14,49,0.3617591857910156,0.03014659881591797,0.0,8597,5,1908
15,18,0.45945215225219727,0.03828767935434977,0.0,11581,5,3122
16,28,0.5405738353729248,0.0450478196144104,0.016927083333333332,13439,5,3529
17,1141,0.4166998863220215,0.03472499052683512,0.0,9963,5,2370
18,4017,0.5882141590118408,0.04901784658432007,0.0013020833333333333,12288,5,3421
19,12,0.1714339256286621,0.014286160469055176,0.0,3764,5,1182
20,6,0.16055774688720703,0.013379812240600586,0.0,3632,5,874
21,971,0.6921799182891846,0.057681659857432045,0.0,16595,5,4374
22,4119,0.32370901107788086,0.02697575092315674,0.0,7676,5,2320
23,6803,0.6090853214263916,0.05075711011886597,0.005208333333333333,15579,5,3544
24,14,0.2567729949951172,0.021397749582926433,0.0,6049,5,1187
25,187,0.2571830749511719,0.021431922912597656,0.0,5952,5,1480
26,3498,0.3682711124420166,0.03068925937016805,0.0026041666666666665,9495,5,2116
27,259,0.26550912857055664,0.022125760714213055,0.0,6644,5,1585
28,24,0.39350318908691406,0.03279193242390951,0.0,9437,5,2365
30,842,0.33209967613220215,0.027674973011016846,0.0,8713,5,2257
31,334,0.3041503429412842,0.02534586191177368,0.0,8071,5,1893
