sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,98516,0.52248215675354,0.04354017972946167,0.3294270833333333,9333,5,2140
2,91887,0.7025728225708008,0.0585477352142334,0.022135416666666668,10780,5,2406
3,107899,0.8436558246612549,0.07030465205510457,0.016927083333333332,13932,5,3649
4,21072,0.9949707984924316,0.08291423320770264,0.0026041666666666665,14291,5,3486
5,26834,0.4946880340576172,0.041224002838134766,0.00390625,7244,5,1686
6,96636,0.47837018966674805,0.039864182472229004,0.00390625,9068,5,2041
7,98009,0.6156890392303467,0.05130741993586222,-0.018229166666666668,10451,5,2672
8,86878,0.570704460144043,0.04755870501200358,-0.020833333333333332,9955,5,2680
9,69228,0.3459792137145996,0.0288316011428833,0.0,6522,5,1495
10,76808,0.48766565322875977,0.04063880443572998,0.0,7428,5,1538
11,125592,0.7727024555206299,0.06439187129338582,0.0,12752,5,3143
13,86388,0.38800477981567383,0.03233373165130615,0.0,8461,5,2235
14,86874,0.5706789493560791,0.04755657911300659,0.0,8597,5,1908
15,70450,0.7828633785247803,0.06523861487706502,0.0,11581,5,3122
16,18664,1.0326581001281738,0.08605484167734782,0.0026041666666666665,13439,5,3529
17,108000,0.5419113636016846,0.04515928030014038,0.0026041666666666665,9963,5,2370
18,135156,0.6247909069061279,0.052065908908843994,0.0,12288,5,3421
19,41823,0.2529776096343994,0.021081467469533283,0.0013020833333333333,3764,5,1182
20,23052,0.2641584873199463,0.02201320727666219,-0.020833333333333332,3632,5,874
21,174080,0.966106653213501,0.08050888776779175,0.0625,16595,5,4374
22,83952,0.3844318389892578,0.03203598658243815,0.0,7676,5,2320
23,157872,0.7281496524810791,0.06067913770675659,0.0026041666666666665,15579,5,3544
24,52450,0.41562318801879883,0.03463526566823324,0.0,6049,5,1187
25,66059,0.35929226875305176,0.029941022396087646,0.0,5952,5,1480
26,96828,0.43877625465393066,0.03656468788782755,0.0,9495,5,2116
27,69530,0.4249908924102783,0.03541590770085653,0.0026041666666666665,6644,5,1585
28,60668,0.6724693775177002,0.056039114793141685,0.0,9437,5,2365
30,88332,0.4329233169555664,0.03607694307963053,0.0013020833333333333,8713,5,2257
31,74284,0.47284364700317383,0.03940363725026449,0.0,8071,5,1893
