sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,98516,0.5242247581481934,0.04368539651234945,0.3294270833333333,9333,5,2140
2,91887,0.7044198513031006,0.058701654275258384,0.026041666666666668,10780,5,2406
3,107899,0.8511805534362793,0.07093171278635661,0.018229166666666668,13932,5,3649
4,5465,0.9558610916137695,0.07965509096781413,0.0,14291,5,3486
5,19694,0.4924476146697998,0.041037301222483315,0.006510416666666667,7244,5,1686
6,96636,0.4794642925262451,0.039955357710520424,0.0026041666666666665,9068,5,2041
7,98009,0.6160111427307129,0.051334261894226074,0.0026041666666666665,10451,5,2672
8,86878,0.5674088001251221,0.047284066677093506,-0.020833333333333332,9955,5,2680
9,69228,0.3456747531890869,0.02880622943242391,0.0013020833333333333,6522,5,1495
10,76808,0.47416043281555176,0.03951336940129598,0.0,7428,5,1538
11,125592,0.768120527267456,0.06401004393895467,0.0,12752,5,3143
13,86388,0.3793156147003174,0.03160963455835978,0.0,8461,5,2235
14,86874,0.5401577949523926,0.04501314957936605,0.0,8597,5,1908
15,70450,0.7590954303741455,0.06325795253117879,0.0,11581,5,3122
16,4248,0.9751503467559814,0.08126252889633179,0.0026041666666666665,13439,5,3529
17,108000,0.5320653915405273,0.04433878262837728,0.00390625,9963,5,2370
18,135156,0.603912353515625,0.050326029459635414,0.0,12288,5,3421
19,41823,0.24978137016296387,0.02081511418024699,0.0,3764,5,1182
20,23052,0.26131629943847656,0.021776358286539715,-0.020833333333333332,3632,5,874
21,174080,0.9542689323425293,0.07952241102854411,0.0625,16595,5,4374
22,83952,0.37948107719421387,0.03162342309951782,0.0,7676,5,2320
23,157872,0.7159879207611084,0.0596656600634257,0.00390625,15579,5,3544
24,52450,0.40671610832214355,0.0338930090268453,0.0,6049,5,1187
25,66059,0.34958386421203613,0.029131988684336346,0.0,5952,5,1480
26,96828,0.4259796142578125,0.03549830118815104,0.0,9495,5,2116
27,69530,0.37243223190307617,0.031036019325256348,-0.020833333333333332,6644,5,1585
28,60668,0.6598734855651855,0.05498945713043213,0.0,9437,5,2365
30,88332,0.4207785129547119,0.035064876079559326,0.0,8713,5,2257
31,74284,0.4620487689971924,0.038504064083099365,0.0,8071,5,1893
