sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,38,0.385540246963501,0.032128353913625084,0.06770833333333333,9333,5,2140
2,19,0.40515756607055664,0.03376313050587972,0.0234375,10780,5,2406
3,46,0.5302674770355225,0.04418895641962687,0.016927083333333332,13932,5,3649
4,12,0.5285289287567139,0.04404407739639282,0.0013020833333333333,14291,5,3486
5,2,0.279468297958374,0.023289024829864502,0.0026041666666666665,7244,5,1686
6,207,0.36008191108703613,0.030006825923919678,0.0026041666666666665,9068,5,2041
7,31,0.3874783515930176,0.032289862632751465,0.0078125,10451,5,2672
8,37,0.34882164001464844,0.029068470001220703,0.0,9955,5,2680
9,67,0.24718999862670898,0.02059916655222575,0.0,6522,5,1495
10,20,0.3023087978363037,0.025192399819691975,0.0,7428,5,1538
11,39,0.4935038089752197,0.041125317414601646,0.0078125,12752,5,3143
13,771,0.30876684188842773,0.025730570157368977,0.0013020833333333333,8461,5,2235
14,4,0.3354623317718506,0.02795519431432088,0.0,8597,5,1908
15,9,0.42862796783447266,0.03571899731953939,0.0,11581,5,3122
16,28,0.48876309394836426,0.04073025782903036,0.0078125,13439,5,3529
17,182,0.3948838710784912,0.03290698925654093,0.0,9963,5,2370
18,844,0.4906294345855713,0.04088578621546427,0.010416666666666666,12288,5,3421
19,6,0.16585636138916016,0.01382136344909668,0.0,3764,5,1182
20,6,0.15163087844848633,0.012635906537373861,0.0,3632,5,874
21,382,0.6378021240234375,0.053150177001953125,0.00390625,16595,5,4374
22,328,0.30446839332580566,0.025372366110483806,0.0,7676,5,2320
23,1262,0.5640461444854736,0.04700384537378947,0.009114583333333334,15579,5,3544
24,4,0.23625612258911133,0.019688010215759277,0.0,6049,5,1187
25,32,0.24001383781433105,0.020001153151194256,0.0,5952,5,1480
26,932,0.3485565185546875,0.029046376546223957,0.0,9495,5,2116
27,23,0.2518789768218994,0.020989914735158283,0.0,6644,5,1585
28,2,0.3750004768371582,0.03125003973642985,0.0026041666666666665,9437,5,2365
30,162,0.3130514621734619,0.026087621847788494,0.0,8713,5,2257
31,28,0.2851548194885254,0.02376290162404378,-0.016927083333333332,8071,5,1893
