sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,38,0.36542320251464844,0.03045193354288737,0.08463541666666667,9333,5,2140
2,19,0.41634249687194824,0.034695208072662354,0.022135416666666668,10780,5,2406
3,46,0.5190408229827881,0.04325340191523234,0.010416666666666666,13932,5,3649
4,12,0.5432417392730713,0.04527014493942261,0.00390625,14291,5,3486
5,2,0.27921509742736816,0.023267924785614014,0.0013020833333333333,7244,5,1686
6,207,0.36104393005371094,0.030086994171142578,0.00390625,9068,5,2041
7,31,0.3964090347290039,0.03303408622741699,0.005208333333333333,10451,5,2672
8,37,0.35814619064331055,0.029845515886942547,0.0,9955,5,2680
9,67,0.2543494701385498,0.021195789178212483,0.0,6522,5,1495
10,20,0.30256080627441406,0.02521340052286784,0.0,7428,5,1538
11,39,0.4898855686187744,0.040823797384897866,0.0013020833333333333,12752,5,3143
13,771,0.3116171360015869,0.02596809466679891,0.0,8461,5,2235
14,4,0.3447377681732178,0.028728147347768147,0.0013020833333333333,8597,5,1908
15,9,0.43523573875427246,0.03626964489618937,0.0013020833333333333,11581,5,3122
16,28,0.5378787517547607,0.04482322931289673,0.009114583333333334,13439,5,3529
17,182,0.3999824523925781,0.033331871032714844,0.0,9963,5,2370
18,844,0.49598073959350586,0.041331728299458824,0.0,12288,5,3421
19,6,0.16606378555297852,0.013838648796081543,0.0013020833333333333,3764,5,1182
20,6,0.15438485145568848,0.01286540428797404,0.0013020833333333333,3632,5,874
21,382,0.6490859985351562,0.05409049987792969,0.0013020833333333333,16595,5,4374
22,328,0.31410908699035645,0.02617575724919637,0.0013020833333333333,7676,5,2320
23,1262,0.580650806427002,0.04838756720225016,0.0026041666666666665,15579,5,3544
24,4,0.24427247047424316,0.02035603920618693,0.0,6049,5,1187
25,32,0.24525117874145508,0.02043759822845459,0.0,5952,5,1480
26,932,0.3512303829193115,0.029269198576609295,0.0,9495,5,2116
27,23,0.2511014938354492,0.020925124486287434,0.0,6644,5,1585
28,2,0.3795161247253418,0.031626343727111816,0.0013020833333333333,9437,5,2365
30,162,0.31573963165283203,0.026311635971069336,0.0026041666666666665,8713,5,2257
31,28,0.2897219657897949,0.024143497149149578,0.0,8071,5,1893
