delta,gamma,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,num_sonatas,avg_occurrences_per_sonata
2,24,163721,13.037389755249023,0.03746376366450864,-0.016927083333333353,277692,29,5645.551724137931
4,24,1156907,15.362878799438477,0.04414620344666225,0.0029633620689654937,277692,29,39893.34482758621
8,24,2356658,16.482781410217285,0.04736431439717606,0.012526939655172405,277692,29,81264.06896551725
16,24,2393821,16.53424572944641,0.0475122003719724,0.01113505747126436,277692,29,82545.55172413793
