sonata,total_occurrences,total_time_s,avg_time_s,avg_memory_mb,note_count,channel_count,chord_count
1,5308,0.5118663311004639,0.04265552759170532,-0.3385416666666667,9333,5,2140
2,2712,0.5515689849853516,0.04596408208211263,0.01953125,10780,5,2406
3,5673,0.6777248382568359,0.05647706985473633,0.009114583333333334,13932,5,3649
4,189,0.701676607131958,0.058473050594329834,0.0013020833333333333,14291,5,3486
5,266,0.36063432693481445,0.030052860577901203,0.0,7244,5,1686
6,25615,0.45348405838012695,0.03779033819834391,0.0078125,9068,5,2041
7,5004,0.512129545211792,0.042677462100982666,0.0,10451,5,2672
8,11655,0.4843480587005615,0.04036233822504679,0.0,9955,5,2680
9,12218,0.32816410064697266,0.027347008387247723,0.0013020833333333333,6522,5,1495
10,3215,0.39333176612854004,0.032777647177378334,0.0013020833333333333,7428,5,1538
11,4730,0.6418642997741699,0.053488691647847496,-0.0013020833333333333,12752,5,3143
13,42525,0.3784618377685547,0.03153848648071289,0.0,8461,5,2235
14,2893,0.44507598876953125,0.03708966573079427,0.0,8597,5,1908
15,837,0.5734825134277344,0.047790209452311196,-0.0234375,11581,5,3122
16,170,0.6994795799255371,0.05828996499379476,0.005208333333333333,13439,5,3529
17,16366,0.5043485164642334,0.04202904303868612,0.0,9963,5,2370
18,64556,0.6036891937255859,0.05030743281046549,0.0,12288,5,3421
19,507,0.2082960605621338,0.017358005046844482,0.0013020833333333333,3764,5,1182
20,25,0.19432306289672852,0.016193588574727375,0.0,3632,5,874
21,15968,0.8479270935058594,0.07066059112548828,0.0,16595,5,4374
22,38664,0.3748445510864258,0.031237045923868816,0.0,7676,5,2320
23,75691,0.7167620658874512,0.0597301721572876,0.006510416666666667,15579,5,3544
24,1085,0.317563533782959,0.026463627815246582,0.0,6049,5,1187
25,4272,0.30846595764160156,0.025705496470133465,0.0,5952,5,1480
26,48433,0.42864060401916504,0.03572005033493042,0.0,9495,5,2116
27,8786,0.3276329040527344,0.02730274200439453,0.0,6644,5,1585
28,674,0.49495887756347656,0.04124657313028971,0.0,9437,5,2365
30,20749,0.3994626998901367,0.03328855832417806,0.0013020833333333333,8713,5,2257
31,4109,0.3877675533294678,0.03231396277745565,-0.0026041666666666665,8071,5,1893
